ANNO_SOLARE;COD_ATENEO;NOME_ATENEO;CODICE_SPESA;DESCRIZIONE_SPESA;SPESA_TOTALE;SPESA_DI_CUI_REGIONALE
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;51    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Ammontare dei prestiti;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;52    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Fondo di garanzia;0;0
2008;00701;Aosta - Università degli studi;S300  ;INTERVENTI A FAVORE DEGLI STUDENTI - TOTALE INTERVENTI;158802;0
2008;00701;Aosta - Università degli studi;S310  ;BORSE DI STUDIO - TOTALE BORSE;60898;0
2008;00701;Aosta - Università degli studi;3110  ;Dottorato di ricerca;15820;
2008;00701;Aosta - Università degli studi;3120  ;Scuole di specializzazione;5000;
2008;00701;Aosta - Università degli studi;3130  ;Scuole di specializzazione mediche a norma UE;0;
2008;00701;Aosta - Università degli studi;3140  ;Post dottorato;0;
2008;00701;Aosta - Università degli studi;3150  ;Perfezionamento all'estero;0;
2008;00701;Aosta - Università degli studi;3160  ;Altre borse;40078;0
2008;00701;Aosta - Università degli studi;3161  ;Altre borse - di cui a studenti iscritti a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;9482;0
2008;00701;Aosta - Università degli studi;3162  ;Altre borse - di cui a studenti iscritti a corsi di dottorato;0;0
2008;00701;Aosta - Università degli studi;3163  ;Altre borse - di cui a studenti iscritti a corsi di specializzazione;0;0
2008;00701;Aosta - Università degli studi;3164  ;Altre borse - di cui a studenti iscritti a corsi di perfezionamento e master;0;0
2008;00701;Aosta - Università degli studi;3165  ;Altre borse - di cui altre borse;30596;0
2008;00701;Aosta - Università degli studi;S320  ;ALTRI INTERVENTI - TOTALE ALTRI INTERVENTI;97904;0
2008;00701;Aosta - Università degli studi;3210  ;Attività part-time;14400;0
2008;00701;Aosta - Università degli studi;3220  ;Programmi di mobilità e scambi culturali studenti;82004;0
2008;00701;Aosta - Università degli studi;3221  ;Programmi di mobilità e scambi culturali studenti - di cui da cofinanziamento MIUR;9650;0
2008;00701;Aosta - Università degli studi;3222  ;Programmi di mobilità e scambi culturali studenti - di cui spesa finanziata dall'Unione Europea o da altre istituzioni;30664;0
2008;00701;Aosta - Università degli studi;3223  ;Programmi di mobilità e scambi culturali studenti - di cui spesa per iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;0
2008;00701;Aosta - Università degli studi;3230  ;Iniziative ed attività culturali gestite dagli studenti;1500;0
2008;00701;Aosta - Università degli studi;3240  ;Altri interventi a favore degli studenti;0;0
2008;00701;Aosta - Università degli studi;3241  ;Altri interventi a favore degli studenti - di cui contributi finanziari a favore di studenti in situazione di handicap;0;0
2008;00701;Aosta - Università degli studi;3242  ;Altri interventi a favore degli studenti - di cui contributi-alloggio;0;0
2008;00701;Aosta - Università degli studi;3243  ;Altri interventi a favore degli studenti - di cui mobilità dei dottorandi;0;0
2008;00701;Aosta - Università degli studi;3244  ;Altri interventi a favore degli studenti - di cui altri sussidi;0;0
2008;00701;Aosta - Università degli studi;40    ;ALTRE SPESE PER IL DSU - TOTALE;94;0
2008;00701;Aosta - Università degli studi;41    ;ALTRE SPESE PER IL DSU - Spesa per gestione della mensa;0;0
2008;00701;Aosta - Università degli studi;42    ;ALTRE SPESE PER IL DSU - Spesa per gestione degli alloggi;0;0
2008;00701;Aosta - Università degli studi;43    ;ALTRE SPESE PER IL DSU - Spesa per trasporto studenti;0;0
2008;00701;Aosta - Università degli studi;44    ;ALTRE SPESE PER IL DSU - Spesa per interventi a favore di studenti in situazione di handicap non ripartibile tra studenti;94;0
2008;00701;Aosta - Università degli studi;45    ;ALTRE SPESE PER IL DSU - Altre spese per il DSU non ripartibile tra studenti;0;0
2008;00701;Aosta - Università degli studi;51    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Ammontare dei prestiti;0;0
2008;00701;Aosta - Università degli studi;52    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Fondo di garanzia;0;0
2008;01001;Genova - Università degli studi;S300  ;INTERVENTI A FAVORE DEGLI STUDENTI - TOTALE INTERVENTI;38013131;0
2008;01001;Genova - Università degli studi;S310  ;BORSE DI STUDIO - TOTALE BORSE;33650440;0
2008;01001;Genova - Università degli studi;3110  ;Dottorato di ricerca;8929958;
2008;01001;Genova - Università degli studi;3120  ;Scuole di specializzazione;4410;
2008;01001;Genova - Università degli studi;3130  ;Scuole di specializzazione mediche a norma UE;22794892;
2008;01001;Genova - Università degli studi;3140  ;Post dottorato;0;
2008;01001;Genova - Università degli studi;3150  ;Perfezionamento all'estero;0;
2008;01001;Genova - Università degli studi;3160  ;Altre borse;1921180;0
2008;01001;Genova - Università degli studi;3161  ;Altre borse - di cui a studenti iscritti a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;9300;0
2008;01001;Genova - Università degli studi;3162  ;Altre borse - di cui a studenti iscritti a corsi di dottorato;952683;0
2008;01001;Genova - Università degli studi;3163  ;Altre borse - di cui a studenti iscritti a corsi di specializzazione;3892;0
2008;01001;Genova - Università degli studi;3164  ;Altre borse - di cui a studenti iscritti a corsi di perfezionamento e master;47032;0
2008;01001;Genova - Università degli studi;3165  ;Altre borse - di cui altre borse;908273;0
2008;01001;Genova - Università degli studi;S320  ;ALTRI INTERVENTI - TOTALE ALTRI INTERVENTI;4362691;0
2008;01001;Genova - Università degli studi;3210  ;Attività part-time;1011223;0
2008;01001;Genova - Università degli studi;3220  ;Programmi di mobilità e scambi culturali studenti;2099614;0
2008;01001;Genova - Università degli studi;3221  ;Programmi di mobilità e scambi culturali studenti - di cui da cofinanziamento MIUR;217959;0
2008;01001;Genova - Università degli studi;3222  ;Programmi di mobilità e scambi culturali studenti - di cui spesa finanziata dall'Unione Europea o da altre istituzioni;1581465;0
2008;01001;Genova - Università degli studi;3223  ;Programmi di mobilità e scambi culturali studenti - di cui spesa per iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;300190;0
2008;01001;Genova - Università degli studi;3230  ;Iniziative ed attività culturali gestite dagli studenti;59113;0
2008;01001;Genova - Università degli studi;3240  ;Altri interventi a favore degli studenti;1192741;0
2008;01001;Genova - Università degli studi;3241  ;Altri interventi a favore degli studenti - di cui contributi finanziari a favore di studenti in situazione di handicap;0;0
2008;01001;Genova - Università degli studi;3242  ;Altri interventi a favore degli studenti - di cui contributi-alloggio;0;0
2008;01001;Genova - Università degli studi;3243  ;Altri interventi a favore degli studenti - di cui mobilità dei dottorandi;342829;0
2008;01001;Genova - Università degli studi;3244  ;Altri interventi a favore degli studenti - di cui altri sussidi;849912;0
2008;01001;Genova - Università degli studi;40    ;ALTRE SPESE PER IL DSU - TOTALE;139766;0
2008;01001;Genova - Università degli studi;41    ;ALTRE SPESE PER IL DSU - Spesa per gestione della mensa;0;0
2008;01001;Genova - Università degli studi;42    ;ALTRE SPESE PER IL DSU - Spesa per gestione degli alloggi;0;0
2008;01001;Genova - Università degli studi;43    ;ALTRE SPESE PER IL DSU - Spesa per trasporto studenti;0;0
2008;01001;Genova - Università degli studi;44    ;ALTRE SPESE PER IL DSU - Spesa per interventi a favore di studenti in situazione di handicap non ripartibile tra studenti;139766;0
2008;01001;Genova - Università degli studi;45    ;ALTRE SPESE PER IL DSU - Altre spese per il DSU non ripartibile tra studenti;0;0
2008;01001;Genova - Università degli studi;51    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Ammontare dei prestiti;0;0
2008;01001;Genova - Università degli studi;52    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Fondo di garanzia;0;0
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";S300  ;INTERVENTI A FAVORE DEGLI STUDENTI - TOTALE INTERVENTI;1628582;277365
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";S310  ;BORSE DI STUDIO - TOTALE BORSE;853195;207617
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3110  ;Dottorato di ricerca;245755;
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3120  ;Scuole di specializzazione;0;
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3130  ;Scuole di specializzazione mediche a norma UE;0;
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3140  ;Post dottorato;0;
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3150  ;Perfezionamento all'estero;0;
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3160  ;Altre borse;607440;207617
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3161  ;Altre borse - di cui a studenti iscritti a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;434730;207617
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3162  ;Altre borse - di cui a studenti iscritti a corsi di dottorato;0;0
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3163  ;Altre borse - di cui a studenti iscritti a corsi di specializzazione;0;0
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3164  ;Altre borse - di cui a studenti iscritti a corsi di perfezionamento e master;57377;0
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3165  ;Altre borse - di cui altre borse;115333;0
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";S320  ;ALTRI INTERVENTI - TOTALE ALTRI INTERVENTI;775387;69748
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3210  ;Attività part-time;52586;0
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3220  ;Programmi di mobilità e scambi culturali studenti;117150;0
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3221  ;Programmi di mobilità e scambi culturali studenti - di cui da cofinanziamento MIUR;38250;0
2008;01201;"Castellanza - Università ""Carlo Cattaneo""";3222  ;Programmi di mobilità e scambi culturali studenti - di cui spesa finanziata dall'Unione Europea o da altre istituzioni;78900;0
