DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
01/11/09;06202;"Benevento - Università telematica ""Giustino Fortunato""";02 ;Residenze;0;0
01/11/09;06301;"Napoli - Università degli studi ""Federico II""";01 ;Mense;0;0
01/11/09;06301;"Napoli - Università degli studi ""Federico II""";02 ;Residenze;0;0
01/11/09;06302;"Napoli - Università degli studi ""Parthenope""";01 ;Mense;0;0
01/11/09;06302;"Napoli - Università degli studi ""Parthenope""";02 ;Residenze;0;0
01/11/09;06303;"Napoli - Università degli studi ""L' Orientale""";01 ;Mense;0;0
01/11/09;06303;"Napoli - Università degli studi ""L' Orientale""";02 ;Residenze;0;0
01/11/09;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";01 ;Mense;0;0
01/11/09;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";02 ;Residenze;1;80
01/11/09;06306;Napoli - Seconda Università degli studi;01 ;Mense;0;0
01/11/09;06306;Napoli - Seconda Università degli studi;02 ;Residenze;0;0
01/11/09;06307;"Napoli - Università telematica ""Pegaso""";01 ;Mense;0;0
01/11/09;06307;"Napoli - Università telematica ""Pegaso""";02 ;Residenze;0;0
01/11/09;06501;Salerno - Università degli studi;01 ;Mense;0;0
01/11/09;06501;Salerno - Università degli studi;02 ;Residenze;1;20
01/11/09;06601;L'Aquila - Università degli studi;01 ;Mense;0;0
01/11/09;06601;L'Aquila - Università degli studi;02 ;Residenze;0;0
01/11/09;06701;Teramo - Università degli studi;01 ;Mense;0;0
01/11/09;06701;Teramo - Università degli studi;02 ;Residenze;0;0
01/11/09;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;01 ;Mense;0;0
01/11/09;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;02 ;Residenze;0;0
01/11/09;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";01 ;Mense;0;0
01/11/09;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";02 ;Residenze;0;0
01/11/09;07001;Campobasso - Università degli studi del Molise;01 ;Mense;0;0
01/11/09;07001;Campobasso - Università degli studi del Molise;02 ;Residenze;1;58
01/11/09;07101;Foggia - Università degli studi;01 ;Mense;0;0
01/11/09;07101;Foggia - Università degli studi;02 ;Residenze;0;0
01/11/09;07201;Bari - Università degli studi;01 ;Mense;0;0
01/11/09;07201;Bari - Università degli studi;02 ;Residenze;0;0
01/11/09;07202;Bari - Politecnico;01 ;Mense;0;0
01/11/09;07202;Bari - Politecnico;02 ;Residenze;0;0
01/11/09;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";01 ;Mense;0;0
01/11/09;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";02 ;Residenze;0;0
01/11/09;07501;Lecce - Università del Salento;01 ;Mense;0;0
01/11/09;07501;Lecce - Università del Salento;02 ;Residenze;1;76
01/11/09;07601;Potenza - Università degli studi della Basilicata;01 ;Mense;0;0
01/11/09;07601;Potenza - Università degli studi della Basilicata;02 ;Residenze;0;0
01/11/09;07801;Arcavacata di Rende - Università della Calabria;01 ;Mense;0;0
01/11/09;07801;Arcavacata di Rende - Università della Calabria;02 ;Residenze;0;0
01/11/09;07901;"Catanzaro - Università degli studi ""Magna Grecia""";01 ;Mense;0;0
01/11/09;07901;"Catanzaro - Università degli studi ""Magna Grecia""";02 ;Residenze;0;0
01/11/09;08001;Reggio Calabria - Università degli studi Mediterranea;01 ;Mense;0;0
01/11/09;08001;Reggio Calabria - Università degli studi Mediterranea;02 ;Residenze;0;0
01/11/09;08003;Reggio Calabria - Università per Stranieri;01 ;Mense;-1;-1
01/11/09;08003;Reggio Calabria - Università per Stranieri;02 ;Residenze;-1;-1
01/11/09;08201;Palermo - Università degli studi;01 ;Mense;0;0
01/11/09;08201;Palermo - Università degli studi;02 ;Residenze;0;0
01/11/09;08301;Messina - Università degli studi;01 ;Mense;0;0
01/11/09;08301;Messina - Università degli studi;02 ;Residenze;0;0
01/11/09;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";01 ;Mense;1;150
01/11/09;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";02 ;Residenze;1;36
01/11/09;08701;Catania - Università degli studi;01 ;Mense;1;60
01/11/09;08701;Catania - Università degli studi;02 ;Residenze;1;96
01/11/09;09001;Sassari - Università degli studi;01 ;Mense;0;0
01/11/09;09001;Sassari - Università degli studi;02 ;Residenze;0;0
01/11/09;09201;Cagliari - Università degli studi;01 ;Mense;0;0
01/11/09;09201;Cagliari - Università degli studi;02 ;Residenze;0;0
01/11/10;00101;Torino - Università degli studi;01 ;Mense;0;0
01/11/10;00101;Torino - Università degli studi;02 ;Residenze;0;0
01/11/10;00102;Torino - Politecnico;01 ;Mense;0;0
01/11/10;00102;Torino - Politecnico;02 ;Residenze;0;0
01/11/10;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";01 ;Mense;0;0
01/11/10;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02 ;Residenze;0;0
01/11/10;00401;Bra (CN) - Università di Scienze Gastronomiche;01 ;Mense;0;0
01/11/10;00401;Bra (CN) - Università di Scienze Gastronomiche;02 ;Residenze;0;0
01/11/10;00701;Aosta - Università degli studi;01 ;Mense;0;0
01/11/10;00701;Aosta - Università degli studi;02 ;Residenze;0;0
01/11/10;01001;Genova - Università degli studi;01 ;Mense;0;0
01/11/10;01001;Genova - Università degli studi;02 ;Residenze;0;0
01/11/10;01201;"Castellanza - Università ""Carlo Cattaneo""";01 ;Mense;0;0
01/11/10;01201;"Castellanza - Università ""Carlo Cattaneo""";02 ;Residenze;0;0
01/11/10;01202;Varese - Università dell' Insubria;01 ;Mense;0;0
01/11/10;01202;Varese - Università dell' Insubria;02 ;Residenze;0;0
01/11/10;01301;"Novedrate (CO) - Università telematica ""e-Campus""";01 ;Mense;1;86
01/11/10;01301;"Novedrate (CO) - Università telematica ""e-Campus""";02 ;Residenze;1;257
01/11/10;01501;Milano - Università degli studi;01 ;Mense;0;0
01/11/10;01501;Milano - Università degli studi;02 ;Residenze;0;0
01/11/10;01502;Milano - Politecnico;01 ;Mense;0;0
01/11/10;01502;Milano - Politecnico;02 ;Residenze;20;1458
01/11/10;01503;"Milano - Università commerciale ""Luigi Bocconi""";01 ;Mense;0;0
01/11/10;01503;"Milano - Università commerciale ""Luigi Bocconi""";02 ;Residenze;0;0
01/11/10;01504;"Milano - Università Cattolica del ""Sacro Cuore""";01 ;Mense;0;0
01/11/10;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02 ;Residenze;0;0
01/11/10;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);01 ;Mense;1;344
