ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER_PERFEZIONAMENTO
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;101;14;0;0;19
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;101;14;0;0;19
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2008-2009;00401;Bra (CN) - Università di Scienze Gastronomiche;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2008-2009;00701;Aosta - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);34;0;0;13;0
2008-2009;00701;Aosta - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;16;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2008-2009;00701;Aosta - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);19;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;N;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;N;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2008-2009;00701;Aosta - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2008-2009;00701;Aosta - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2008-2009;00701;Aosta - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2008-2009;00701;Aosta - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2008-2009;00701;Aosta - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2008-2009;00701;Aosta - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2008-2009;00701;Aosta - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2008-2009;01001;Genova - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2008-2009;01001;Genova - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);476;11;2;1;0
2008-2009;01001;Genova - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2008-2009;01001;Genova - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;11;11;1;0;0
2008-2009;01001;Genova - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2008-2009;01001;Genova - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);617;46;5;0;0
2008-2009;01001;Genova - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;46;46;5;0;0
2008-2009;01001;Genova - Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;412;4;N;3;0
2008-2009;01001;Genova - Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;95;0;0;0;0
2008-2009;01001;Genova - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;715;45;0;0;0
2008-2009;01001;Genova - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2008-2009;01001;Genova - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2008-2009;01001;Genova - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2008-2009;01001;Genova - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2008-2009;01001;Genova - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2008-2009;01001;Genova - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2008-2009;01001;Genova - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;461;0;0
2008-2009;01001;Genova - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2008-2009;01001;Genova - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2008-2009;01001;Genova - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;6;0;0
2008-2009;01001;Genova - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;59
2008-2009;01001;Genova - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;131;0;0
2008-2009;01001;Genova - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;87;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);156;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;80;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);134;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;100;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;79;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2008-2009;01201;"Castellanza - Università ""Carlo Cattaneo""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
