ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER_PERFEZIONAMENTO
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2010-2011;06001;Cassino - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;32;0;27;1;0
2010-2011;06001;Cassino - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);89;14;9;0;0
2010-2011;06001;Cassino - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2010-2011;06001;Cassino - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;14;14;5;0;0
2010-2011;06001;Cassino - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2010-2011;06001;Cassino - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);94;1;0;0;0
2010-2011;06001;Cassino - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;1;1;0;0;0
2010-2011;06001;Cassino - Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2010-2011;06001;Cassino - Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2010-2011;06001;Cassino - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2010-2011;06001;Cassino - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2010-2011;06001;Cassino - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2010-2011;06001;Cassino - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2010-2011;06001;Cassino - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2010-2011;06001;Cassino - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2010-2011;06001;Cassino - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;2;0;0;0;0
2010-2011;06001;Cassino - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;35,4;0;0
2010-2011;06001;Cassino - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2010-2011;06001;Cassino - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;26,6;0;0
2010-2011;06001;Cassino - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;2;0;0
2010-2011;06001;Cassino - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2010-2011;06001;Cassino - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;3;0;36
2010-2011;06001;Cassino - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;5;0;44
2010-2011;06201;Benevento - Università degli studi del Sannio;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;8;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);35;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2010-2011;06201;Benevento - Università degli studi del Sannio;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);45;7;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;7;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;7;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;115;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;74;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;74;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;32;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;4;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;1;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;12;0;0
2010-2011;06201;Benevento - Università degli studi del Sannio;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;15;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;1;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;1;0;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);695;2;24;6;20
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;11;1;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;10;;
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);278;50;6;0;1
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;15;0;6;0;1
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;561;0;6;N;N
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;738;2;0;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;687;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;2;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;23;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;16;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;68;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;69;0;0
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;43;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);29;0;28;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;26;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;2;;
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);11;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;74;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;73;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;2;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;1;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;12;0;0
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;6;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);333;1;9;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;27;0;0;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;62;1;8;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;7;;
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);176;126;7;0;0
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;115;115;4;0;0
